date,Donald Trump,Kamala Harris
2023-11-05,3,0
2023-11-12,3,0
2023-11-19,3,0
2023-11-26,3,0
2023-12-03,3,0
2023-12-10,2,0
2023-12-17,4,0
2023-12-24,3,0
2023-12-31,3,0
2024-01-07,4,0
2024-01-14,5,1
2024-01-21,6,1
2024-01-28,4,1
2024-02-04,4,1
2024-02-11,5,1
2024-02-18,6,1
2024-02-25,5,1
2024-03-03,7,1
2024-03-10,5,1
2024-03-17,4,1
2024-03-24,5,1
2024-03-31,4,0
2024-04-07,4,1
2024-04-14,4,0
2024-04-21,4,0
2024-04-28,4,1
2024-05-05,4,0
2024-05-12,4,1
2024-05-19,4,0
2024-05-26,17,1
2024-06-02,6,1
2024-06-09,5,1
2024-06-16,4,0
2024-06-23,8,2
2024-06-30,6,4
2024-07-07,22,3
2024-07-14,50,5
2024-07-21,14,95
2024-07-28,18,37
2024-08-04,7,34
2024-08-11,7,18
2024-08-18,9,33
2024-08-25,7,18
2024-09-01,6,12
2024-09-08,11,28
2024-09-15,13,15
2024-09-22,6,14
2024-09-29,7,12
2024-10-06,7,14
2024-10-13,8,18
2024-10-20,12,22
2024-10-27,13,22
2024-11-03,100,91
